batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.4608333333333333,10,128,0.05,39.2194,3.1451,0.0011,4.2341,1.1729,6.5532,0.7262,923.7676,70.388,0.1161,0.3104,0.0,0.0144,0.0024,0.1824,0.003,3.9639,2.9103,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1424,0.1424,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0095,0.0095
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.5011111111111111,10,128,0.05,40.1543,2.9363,0.0007,4.1529,1.1359,7.2715,0.7731,1061.7913,79.9958,0.1105,0.3959,0.0,0.0087,0.0017,0.3323,0.0023,6.4185,4.6735,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1529,0.1529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0143,0.0143
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.5219444444444444,10,128,0.05,43.2321,2.415,0.0006,4.0712,1.1411,7.6105,0.7659,1187.8994,89.5158,0.1035,0.1911,0.0,0.0117,0.0016,0.305,0.0022,5.2783,3.8772,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1733,0.1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.016
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.5211111111111111,10,128,0.05,45.6441,2.3634,0.0007,4.0491,1.1611,7.571,0.7406,1296.7432,94.7679,0.0986,0.124,0.0,0.0148,0.0016,0.2598,0.0021,7.0106,2.9856,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1783,0.1783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0084
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.5252777777777777,10,128,0.05,46.0511,2.4659,0.0004,4.0926,1.1535,7.3235,0.7505,1339.6658,93.7702,0.1075,0.135,0.0,0.0148,0.0015,0.2082,0.0019,7.2382,3.1618,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1633,0.1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0119,0.0119
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.5272222222222223,10,128,0.05,47.7641,2.3894,0.0005,4.0376,1.1666,7.6371,0.7341,1397.421,100.6242,0.0949,0.2443,0.0,0.0164,0.0015,0.3094,0.0018,7.0391,3.9477,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.0012,0.1691,0.1691,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0048,0.0048
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.5291666666666667,10,128,0.05,46.7482,2.3533,0.0003,4.1681,1.1581,7.1539,0.7447,1408.8252,103.6676,0.118,0.2878,0.0,0.0154,0.0014,0.2941,0.0018,6.344,3.2429,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1757,0.1757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0167,0.0167
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.5311111111111111,10,128,0.05,46.0072,2.675,0.0002,4.2509,1.1511,7.3811,0.7537,1428.6155,105.3725,0.0992,0.2948,0.0,0.0222,0.0011,0.1669,0.0015,6.2878,2.556,0.0001,0.0001,0.0,0.0001,0.0001,0.0013,0.001,0.1787,0.1787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089,0.0089
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.5358333333333334,10,128,0.05,48.2594,2.5198,1e-04,4.1332,1.1579,7.3306,0.745,1450.3447,103.7926,0.116,0.3091,0.0,0.0151,0.0012,0.2493,0.0016,5.6161,3.103,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1837,0.1837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0102,0.0102
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.5269444444444444,10,128,0.05,48.2416,2.7381,1e-04,4.1886,1.1596,7.5357,0.7429,1491.2776,108.7003,0.0972,0.3831,0.0,0.0175,0.0011,0.1797,0.0014,4.4677,2.6992,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1832,0.1832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.008
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=10.ckpt,10,0.52,10,128,0.05,46.7299,2.6584,0.0003,4.2326,1.1552,7.2816,0.7488,1454.9775,105.2313,0.0827,0.225,0.0,0.0203,0.0008,0.1788,0.0011,4.6161,3.572,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1689,0.1689,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0145,0.0145
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=11.ckpt,11,0.5375,10,128,0.05,48.2196,2.7571,0.0002,4.1645,1.1633,7.1213,0.7381,1492.1083,107.3656,0.1044,0.2894,0.0,0.0191,0.0011,0.2318,0.0015,5.1204,3.1889,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1563,0.1563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133,0.0133
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=12.ckpt,12,0.5355555555555556,10,128,0.05,47.5789,2.7593,0.0002,4.1932,1.1604,7.3392,0.7422,1479.0608,102.4438,0.1021,0.2977,0.0,0.0266,0.0011,0.2732,0.0015,5.8749,3.7283,0.0001,0.0001,0.0,0.0002,0.0001,0.0013,0.001,0.1554,0.1554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0083,0.0083
