batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=00-v1.ckpt,0,0.43416666666666665,5,64,,25.5004,4.2281,0.0044,3.5794,1.2021,5.7526,0.6918,590.8504,44.7422,0.148,0.8844,1e-04,0.0299,0.0037,0.2525,0.0042,4.5235,2.6025,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0012,0.1278,0.1278,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0107,0.0107
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=00.ckpt,1,0.4313888888888889,5,64,,24.7528,4.4259,0.0037,3.6702,1.1801,5.4688,0.7168,563.6892,45.016,0.138,0.8893,1e-04,0.0277,0.0028,0.2656,0.0036,3.5858,2.2614,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0012,0.1361,0.1361,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0159,0.0159
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=01-v1.ckpt,2,0.4666666666666667,5,64,,28.2643,3.3328,0.0044,3.1678,1.1903,5.6372,0.7031,678.4574,49.9237,0.1378,0.6595,0.0002,0.028,0.0032,0.2544,0.0036,4.4542,2.5332,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1334,0.1334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0122
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=01.ckpt,3,0.46111111111111114,5,64,,27.7593,3.3715,0.0045,3.2552,1.173,7.142,0.7239,683.3675,54.4907,0.1104,0.548,0.0002,0.0272,0.0021,0.3635,0.0027,2.5486,3.2613,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0012,0.1414,0.1414,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0109,0.0109
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=02-v1.ckpt,4,0.48,5,64,,28.252,2.853,0.0039,2.9641,1.157,6.2276,0.7444,719.1974,52.6199,0.1145,0.4579,0.0002,0.0264,0.0026,0.2982,0.0032,4.5253,2.8544,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1364,0.1364,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0123,0.0123
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=02.ckpt,5,0.47055555555555556,5,64,,28.6782,2.9276,0.0044,3.0871,1.1743,7.0943,0.7217,756.9924,59.972,0.0864,0.446,0.0003,0.0287,0.002,0.3226,0.0025,2.3169,3.4128,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1526,0.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0181,0.0181
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=03-v1.ckpt,6,0.4722222222222222,5,64,,28.2766,2.8775,0.0033,2.9253,1.1472,6.2911,0.7569,737.307,56.8314,0.0914,0.3778,0.0002,0.0246,0.0022,0.2954,0.0029,4.379,2.2804,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.001,0.1342,0.1342,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0105,0.0105
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=03.ckpt,7,0.47055555555555556,5,64,,29.9239,2.8176,0.0038,3.0103,1.1826,6.8961,0.7122,803.6322,64.0981,0.0823,0.372,0.0003,0.027,0.0018,0.2866,0.002,2.7016,3.4709,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1526,0.1526,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.03,0.03
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=04-v1.ckpt,8,0.4766666666666667,5,64,,29.056,2.7883,0.0033,2.8783,1.1554,6.082,0.7455,773.7106,59.6714,0.095,0.2631,0.0002,0.0226,0.0021,0.2607,0.0027,4.3388,2.2587,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0011,0.1412,0.1412,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0162,0.0162
64,0.001,3,10,50,16,8,64,age/checkpoints/model_64_0.001_3_10_50_64epoch=04.ckpt,9,0.49166666666666664,5,64,,30.1323,3.0052,0.0036,2.9514,1.179,6.7347,0.7163,840.1697,65.1991,0.0823,0.6262,0.0004,0.0303,0.0014,0.2685,0.0016,3.1034,3.2557,0.0001,0.0001,0.0,0.0001,0.0,0.0005,0.0012,0.1687,0.1687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0266,0.0266
