,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,std_metric_rankme,std_metric_coherence,std_metric_pseudo_condition_number,std_metric_alpha_req,std_metric_stable_rank,std_metric_ne_sum,std_metric_self_clustering,std_metric_ripser_sum_H0,std_metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,std_time_rankme,std_time_coherence,std_time_pseudo_condition_number,std_time_alpha_req,std_time_stable_rank,std_time_ne_sum,std_time_self_clustering,std_time_ripser_sum_H0,std_time_ripser_sum_H1
0,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.48,3,128,35.6389,2.8662,0.0005,4.2845,1.149,6.331,0.7568,990.3711,82.1361,0.1863,0.282,0.0,0.0131,0.0016,0.2711,0.0019,4.3675,4.0771,0.0001,0.0001,0.0,0.0002,0.0001,0.0032,0.0114,0.1919,0.1919,0.0,0.0,0.0,0.0,0.0,0.002,0.0029,0.0183,0.0183
1,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.5163888888888889,3,128,37.5847,2.5678,0.0002,4.4598,1.1413,6.2691,0.7675,1168.945,86.4258,0.208,0.3024,0.0,0.0111,0.0013,0.2652,0.0016,6.5932,1.9101,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.008,0.1946,0.1946,0.0,0.0,0.0,0.0,0.0,0.0024,0.0052,0.0233,0.0233
2,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.5266666666666666,3,128,40.7334,2.3851,0.0003,4.4546,1.1527,6.779,0.7518,1290.5681,98.6808,0.1514,0.2107,0.0,0.0191,0.0013,0.3107,0.0015,8.1014,4.0941,0.0001,0.0001,0.0,0.0002,0.0001,0.0021,0.008,0.2069,0.2069,0.0,0.0,0.0,0.0,0.0,0.0012,0.0027,0.0221,0.0221
3,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.5202777777777777,3,128,40.1498,2.7583,0.0001,4.8626,1.146,6.6546,0.7608,1340.258,97.545,0.1307,0.3313,0.0,0.0182,0.0012,0.3076,0.0015,6.8016,4.7041,0.0001,0.0001,0.0,0.0002,0.0001,0.0024,0.0108,0.1908,0.1908,0.0,0.0,0.0,0.0,0.0,0.0021,0.003,0.0107,0.0107
4,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.5294444444444445,3,128,40.7614,2.7656,0.0001,4.9994,1.1521,7.078,0.7528,1405.5862,103.9313,0.1441,0.3214,0.0,0.0276,0.0014,0.3642,0.0017,6.4087,2.9211,0.0001,0.0001,0.0,0.0002,0.0001,0.0026,0.0085,0.178,0.178,0.0,0.0,0.0,0.0,0.0,0.002,0.0049,0.0143,0.0143
5,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.5486111111111112,3,128,42.4166,3.0319,0.0,5.1518,1.1613,6.7842,0.7411,1450.3501,106.5796,0.1411,0.3997,0.0,0.0349,0.0015,0.3719,0.0018,5.9315,2.5636,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0082,0.1929,0.1929,0.0,0.0,0.0,0.0,0.0,0.0011,0.0078,0.0168,0.0168
6,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.5447222222222222,3,128,42.3559,2.9843,0.0001,5.0854,1.1552,6.701,0.7486,1467.24,99.2918,0.125,0.3492,0.0,0.0243,0.0012,0.3364,0.0015,4.4321,4.0595,0.0001,0.0001,0.0,0.0002,0.0001,0.0043,0.0109,0.1824,0.1824,0.0,0.0,0.0,0.0,0.0,0.0026,0.0044,0.0135,0.0135
7,16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.5436111111111112,3,128,41.8071,3.3877,0.0,5.1112,1.1511,6.5651,0.7537,1452.8677,101.5749,0.1426,0.4702,0.0,0.034,0.0013,0.3009,0.0016,6.3136,3.2538,0.0001,0.0001,0.0,0.0002,0.0001,0.0016,0.0098,0.1895,0.1895,0.0,0.0,0.0,0.0,0.0,0.001,0.0031,0.0147,0.0147
8,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.4766666666666667,7,128,36.0744,3.1388,0.0012,4.2314,1.1322,6.08,0.7795,841.6907,61.8576,0.1563,0.52,0.0,0.021,0.0015,0.2247,0.0021,4.2313,2.3431,0.0001,0.0001,0.0,0.0002,0.0001,0.0017,0.0114,0.1975,0.1975,0.0,0.0,0.0,0.0,0.0,0.0013,0.0029,0.0199,0.0199
9,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.4913888888888889,7,128,40.3073,2.4997,0.0011,4.1228,1.1367,7.1129,0.7724,1053.61,80.6668,0.1192,0.2029,0.0,0.0135,0.0014,0.2797,0.0019,4.1229,4.0996,0.0001,0.0001,0.0,0.0002,0.0001,0.0018,0.0127,0.2019,0.2019,0.0,0.0,0.0,0.0,0.0,0.0013,0.0072,0.0201,0.0201
10,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.5172222222222222,7,128,39.987,2.6725,0.0006,4.1044,1.1194,6.2582,0.7967,1126.3601,81.1393,0.108,0.2324,0.0,0.0144,0.0011,0.2545,0.0016,3.8087,6.2715,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0083,0.1927,0.1927,0.0,0.0,0.0,0.0,0.0,0.0015,0.0025,0.0164,0.0164
11,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.5136111111111111,7,128,42.1655,2.2387,0.0005,4.093,1.1343,6.8815,0.7756,1235.8203,86.6707,0.1251,0.0981,0.0,0.0141,0.001,0.2239,0.0013,3.8761,5.9098,0.0001,0.0001,0.0,0.0002,0.0001,0.0034,0.012,0.1965,0.1965,0.0,0.0,0.0,0.0,0.0,0.0022,0.0075,0.0153,0.0153
12,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.5163888888888889,7,128,42.9062,2.3094,0.0005,4.1242,1.1366,6.8371,0.7725,1282.6925,90.9117,0.1292,0.1118,0.0,0.0125,0.0009,0.2427,0.0013,3.3231,4.3561,0.0001,0.0001,0.0,0.0002,0.0001,0.002,0.0095,0.194,0.194,0.0,0.0,0.0,0.0,0.0,0.0012,0.0028,0.0119,0.0119
13,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.5286111111111111,7,128,43.5747,2.6375,0.0005,4.124,1.1415,7.3309,0.7656,1327.7529,93.9771,0.1134,0.1762,0.0001,0.0183,0.0009,0.2541,0.0012,2.9188,4.8375,0.0001,0.0001,0.0,0.0002,0.0001,0.0029,0.0097,0.1922,0.1922,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.0145,0.0145
14,32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.5244444444444445,7,128,45.4185,2.4882,0.0004,4.0222,1.1522,6.6107,0.7517,1385.7201,96.6094,0.1205,0.3125,0.0,0.0149,0.0011,0.287,0.0014,4.3489,3.8504,0.0001,0.0001,0.0,0.0002,0.0001,0.0027,0.0067,0.1938,0.1938,0.0,0.0,0.0,0.0,0.0,0.0018,0.0037,0.0133,0.0133
