,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,source_features,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc,sample_fraction
0,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=00.ckpt,0,30,0.38143387,28.9335,11.4108,0.0016,4.0132,1.2838,5.9614,0.6168,,1939.911,51.1778,671.6741,17.7198,595.1435,15.7008,555.1263,14.6451,506.1673,13.3535,470.4606,12.4115,410.868,10.8393,162.953,4.647,56.4208,1.609,49.9922,1.4257,46.6307,1.3298,42.5182,1.2125,39.5188,1.127,34.513,0.9842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.5365,1.0
1,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=01.ckpt,1,30,0.40986517,31.6614,11.015,0.0013,4.0356,1.2332,6.9433,0.6611,,2305.907,60.401,727.7711,19.0633,659.2449,17.2683,622.7759,16.313,577.1578,15.1181,542.2006,14.2024,479.4137,12.5578,209.0091,5.6537,65.9657,1.7844,59.7544,1.6163,56.4489,1.5269,52.314,1.4151,49.1455,1.3294,43.4544,1.1754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.6664,1.0
2,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=02.ckpt,2,30,0.41648296,35.4858,10.7704,0.0012,4.1534,1.2304,6.4913,0.664,,2578.9685,67.4203,763.9087,19.9704,696.0844,18.1973,660.0534,17.2554,614.7195,16.0702,580.4302,15.1738,519.3874,13.578,220.7842,5.8942,65.3978,1.7459,59.5914,1.5909,56.5068,1.5085,52.6258,1.4049,49.6903,1.3266,44.4645,1.1871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.6937,1.0
3,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=03.ckpt,3,30,0.42604163,37.4766,9.801,0.001,4.2782,1.2232,7.3614,0.6704,,2767.3547,72.2059,788.992,20.5864,723.626,18.8809,688.6604,17.9686,644.9017,16.8268,611.6766,15.9599,553.0154,14.4293,226.356,6.044,64.5357,1.7232,59.1891,1.5804,56.329,1.5041,52.7498,1.4085,50.0321,1.3359,45.2339,1.2078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.6683,1.0
4,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=04.ckpt,4,30,0.43541664,39.3016,9.9615,0.0009,4.3704,1.2141,7.4865,0.6803,,2877.2554,75.0131,809.1545,21.0955,743.7064,19.3892,708.5449,18.4725,664.4362,17.3225,630.7702,16.4448,571.8818,14.9096,224.9295,5.8892,63.2557,1.6562,58.1393,1.5222,55.3905,1.4503,51.9423,1.36,49.3105,1.2911,44.7069,1.1705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.6958,1.0
5,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=05.ckpt,5,30,0.43903193,40.8879,10.1866,0.0007,4.4524,1.201,8.329,0.6946,,2985.9514,77.8265,830.7548,21.653,765.8777,19.962,730.9021,19.0504,687.0238,17.9067,653.3043,17.0279,591.9122,15.4277,216.376,5.735,60.2004,1.5956,55.4991,1.471,52.9646,1.4038,49.785,1.3195,47.3415,1.2548,42.8927,1.1369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.6766,1.0
6,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=06.ckpt,6,30,0.4390318,42.7725,11.4008,0.0008,4.4346,1.2054,8.688,0.6887,,3098.3315,80.7389,845.1892,22.0246,781.6638,20.3692,747.4521,19.4777,704.1296,18.3488,671.2264,17.4914,612.9173,15.9719,218.1674,5.8041,59.5136,1.5833,55.0404,1.4643,52.6314,1.4002,49.5809,1.319,47.2641,1.2574,43.1582,1.1482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.712,0.7115,1.0
7,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=07.ckpt,7,30,0.44871333,43.7531,10.8249,0.0007,4.5149,1.2051,8.8335,0.6892,,3156.7795,82.2177,849.226,22.1179,786.9755,20.4966,753.3126,19.6199,711.1889,18.5228,678.9448,17.683,622.2408,16.2061,219.9625,5.8544,59.1735,1.5749,54.836,1.4595,52.4904,1.3971,49.5552,1.3189,47.3085,1.2591,43.3574,1.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.6765,1.0
8,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=08.ckpt,8,30,0.441299,44.3118,10.0735,0.0005,4.5563,1.2018,8.7909,0.6929,,3191.4265,83.1505,857.2061,22.3339,794.0108,20.6874,759.859,19.7976,716.7488,18.6744,684.0402,17.8222,625.1554,16.288,219.9626,5.8033,59.0812,1.5587,54.7256,1.4438,52.3717,1.3817,49.4005,1.3033,47.1461,1.2439,43.0876,1.1368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.7207,1.0
9,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128epoch=09.ckpt,9,30,0.44540447,45.9771,10.6217,0.0005,4.5939,1.206,9.4854,0.6883,,3245.2224,84.5197,868.9856,22.6322,807.3619,21.0272,773.7092,20.1508,730.8545,19.0346,697.6911,18.1709,638.732,16.6354,223.2156,5.905,59.7713,1.5812,55.5326,1.4691,53.2179,1.4078,50.2702,1.3299,47.9892,1.2695,43.9338,1.1622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.7284,1.0
