batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,loss,rnn_encoder_type,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=00.ckpt,0,30,0.10813078,1.3491,11.7002,0.0,5.6801,1.0003,1.0214,0.997,37.3308,4.4202,1375.1463,162.8264,1155.0696,136.7679,1018.6134,120.6106,802.767,95.0529,270.5266,32.0321,8.2777,0.9801,1.0252,0.0348,37.7665,1.2835,31.7224,1.0781,27.9748,0.9507,22.0469,0.7492,7.4296,0.2525,0.2273,0.0077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.492,0.4967
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=01.ckpt,1,30,0.10115741,1.2754,11.6987,0.0,5.6478,1.0002,1.0176,0.9974,28.4488,4.2742,1504.1831,225.9904,1274.9249,191.5464,1137.8188,170.9474,930.5486,139.8068,518.8896,77.9586,7.7119,1.1586,0.6734,0.0231,35.603,1.2226,30.1766,1.0363,26.9314,0.9248,22.0255,0.7564,12.2818,0.4218,0.1825,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.4463
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=02.ckpt,2,30,0.09728009,1.252,11.7015,0.0,5.7157,1.0002,1.0171,0.9976,25.0441,4.2697,1652.2296,281.6831,1404.1852,239.3949,1255.9934,214.1301,1033.999,176.283,667.654,113.8261,7.7502,1.3213,0.5529,0.0182,36.4733,1.2,30.9977,1.0199,27.7263,0.9122,22.8257,0.751,14.7386,0.4849,0.1711,0.0056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.4894
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=03.ckpt,3,30,0.09771412,1.2532,11.7029,0.0,5.849,1.0002,1.0223,0.9978,23.761,4.4628,1902.2279,357.2772,1616.394,303.5918,1445.7795,271.5469,1187.131,222.9674,784.8327,147.4076,8.0371,1.5095,0.4672,0.0155,37.401,1.2396,31.781,1.0533,28.4265,0.9421,23.341,0.7736,15.4311,0.5114,0.158,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.508,0.475
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=04.ckpt,4,30,0.114380784,1.2036,11.7014,0.0,5.724,1.0002,1.0143,0.9979,19.8341,4.2754,1921.1925,414.1235,1641.4599,353.8256,1476.9413,318.3627,1233.0607,265.793,901.1636,194.2507,7.908,1.7046,0.3957,0.0129,38.3261,1.2541,32.7456,1.0715,29.4636,0.9641,24.5984,0.8049,17.9774,0.5883,0.1578,0.0052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.4933
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=05.ckpt,5,30,0.13587964,1.2005,11.7018,0.0,5.8809,1.0002,1.0144,0.998,18.7363,4.262,2149.8946,489.0462,1834.7426,417.3571,1646.3963,374.5131,1363.2218,310.0982,964.5515,219.4109,7.9491,1.8082,0.3305,0.011,37.9217,1.2592,32.3628,1.0746,29.0406,0.9643,24.0457,0.7985,17.0136,0.565,0.1402,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.4788
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=06.ckpt,6,30,0.14528356,1.1848,11.7022,0.0,5.9011,1.0002,1.0134,0.9981,17.1767,4.2903,2344.0834,585.4908,2002.1983,500.0968,1798.1088,449.1206,1493.1526,372.9505,1094.2467,273.3142,8.1116,2.0261,0.2815,0.0093,38.4114,1.2759,32.8091,1.0898,29.4647,0.9787,24.4676,0.8127,17.9309,0.5956,0.1329,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.4738
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=07.ckpt,7,30,0.14103009,1.1869,11.7029,0.0,6.0786,1.0002,1.0143,0.9982,16.6638,4.3287,2692.2862,699.3629,2298.856,597.1634,2063.7715,536.0965,1702.7057,442.3041,1201.3618,312.0723,8.4331,2.1906,0.2396,0.0079,38.7189,1.2784,33.0608,1.0915,29.6799,0.9799,24.4873,0.8085,17.2773,0.5704,0.1213,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.4746
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=08.ckpt,8,30,0.11770833,1.1655,11.7026,0.0,6.0278,1.0002,1.0121,0.9982,15.0234,4.3675,2943.5327,855.7358,2517.5878,731.9063,2265.6067,658.651,1891.3345,549.8436,1396.5626,406.0049,8.5428,2.4835,0.2019,0.0067,39.5525,1.3136,33.8291,1.1235,30.4432,1.0111,25.414,0.8441,18.7657,0.6233,0.1148,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.496,0.4472
16,0.001,3,10,100,32,16,128,184,440338,73,30,BarlowTwinsLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-08 23:29:01.030695_BarlowTwinsLoss_gru_catboost/model_16_0.001_3_10_100_128_32_16_128_BarlowTwinsLoss_gruepoch=09.ckpt,9,30,0.10940394,1.1634,11.7027,0.0,6.199,1.0002,1.012,0.9983,14.4498,4.3798,3361.6388,1018.9343,2872.7606,870.7522,2580.6424,782.2093,2133.4671,646.6676,1518.3807,460.2309,8.7764,2.6602,0.1694,0.0056,39.4198,1.3096,33.687,1.1191,30.2616,1.0053,25.0178,0.8311,17.8051,0.5915,0.1029,0.0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.504,0.4622
