batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,loss,rnn_encoder_type,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=00.ckpt,0,30,0.4521412,30.0883,10.5368,0.0019,4.0227,1.3804,5.741,0.5365,1874.9902,49.2411,639.5879,16.7969,570.8875,14.9927,535.5109,14.0636,492.3409,12.9299,460.8696,12.1034,408.0884,10.7172,168.0288,4.9146,57.3172,1.6764,51.1606,1.4964,47.9903,1.4036,44.1215,1.2905,41.3012,1.208,36.5712,1.0697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.576,0.5738
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=01.ckpt,1,30,0.46932864,33.8513,11.3471,0.0019,4.0232,1.287,6.3136,0.6067,2304.4795,60.376,709.1338,18.5789,642.9317,16.8444,608.4432,15.9409,565.2931,14.8103,532.9669,13.9634,473.3452,12.4014,218.0936,5.8904,67.1117,1.8126,60.8464,1.6434,57.5825,1.5552,53.4988,1.4449,50.4395,1.3623,44.7969,1.2099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6156
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=02.ckpt,2,30,0.47561726,36.5172,11.1654,0.0018,4.1423,1.2558,8.407,0.6366,2483.4214,64.947,757.4657,19.8094,694.4082,18.1603,661.0296,17.2874,618.7683,16.1822,586.5905,15.3407,527.8436,13.8043,234.8512,6.1694,71.6317,1.8817,65.6685,1.7251,62.512,1.6422,58.5154,1.5372,55.4725,1.4572,49.9169,1.3113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.632,0.6213
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=03.ckpt,3,30,0.47696766,38.0496,11.0906,0.0015,4.1884,1.241,8.4143,0.6503,2599.8574,67.9828,778.8004,20.3646,716.9419,18.7471,683.7658,17.8796,641.7429,16.7807,610.0884,15.953,552.7209,14.4529,240.2778,6.2526,71.9764,1.873,66.2595,1.7242,63.1934,1.6444,59.3096,1.5434,56.3841,1.4672,51.0823,1.3293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.596,0.6388
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=04.ckpt,4,30,0.47864592,39.3143,11.085,0.0014,4.2763,1.2436,8.2539,0.646,2758.8591,72.0277,794.1372,20.7332,733.2348,19.1431,700.5428,18.2896,658.6302,17.1954,626.76,16.3633,567.9626,14.8282,247.1856,6.4288,71.1523,1.8505,65.6957,1.7086,62.7666,1.6324,59.0113,1.5348,56.1558,1.4605,50.8878,1.3235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.644,0.6511
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=05.ckpt,5,30,0.4808449,40.2848,10.9529,0.0011,4.3349,1.2377,9.1917,0.653,2796.9634,73.0094,808.4273,21.1024,746.8876,19.4961,713.688,18.6295,671.412,17.5259,638.8936,16.6771,581.2785,15.1732,243.3326,6.2972,70.3322,1.8201,64.9784,1.6816,62.09,1.6068,58.4121,1.5117,55.583,1.4384,50.5706,1.3087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6607
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=06.ckpt,6,30,0.4818866,40.6351,10.9333,0.0008,4.3389,1.234,8.3119,0.6564,2828.033,73.83,802.1653,20.9417,741.1904,19.3499,708.2885,18.4909,666.7564,17.4067,634.9222,16.5756,577.9061,15.0871,248.1644,6.4419,70.3913,1.8272,65.0406,1.6883,62.1534,1.6134,58.5089,1.5188,55.7154,1.4463,50.7122,1.3164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62,0.6691
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=07.ckpt,7,30,0.4831597,40.4837,10.1754,0.0007,4.4628,1.2188,9.4123,0.6737,2820.2075,73.5751,814.6222,21.2523,753.4532,19.6565,720.6679,18.8012,678.8079,17.7091,646.551,16.8676,587.138,15.3176,239.3132,6.2647,69.1261,1.8096,63.9355,1.6737,61.1534,1.6009,57.6013,1.5079,54.8641,1.4362,49.8225,1.3042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.648,0.6621
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=08.ckpt,8,30,0.48171303,42.6549,11.4825,0.0007,4.4398,1.2345,8.9483,0.6565,2951.3625,77.0491,828.9253,21.6402,768.6117,20.0656,736.1161,19.2173,694.3375,18.1266,662.0902,17.2847,602.3713,15.7257,250.4902,6.3957,70.3531,1.7963,65.2342,1.6656,62.4762,1.5952,58.9303,1.5047,56.1934,1.4348,51.1249,1.3054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.6777
16,0.001,3,10,100,32,16,128,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-09 11:31:59.174931_ContrastiveLoss_gru_mlp/model_16_0.001_3_10_100_128_32_16_128_ContrastiveLoss_gruepoch=09.ckpt,9,30,0.48339114,43.2276,11.127,0.0007,4.3967,1.2317,9.0275,0.6591,2977.0654,77.6794,831.5503,21.6973,770.3671,20.1009,737.3834,19.2402,695.1797,18.139,662.5487,17.2876,601.7056,15.7001,252.2185,6.4322,70.4494,1.7966,65.2659,1.6644,62.4715,1.5932,58.896,1.502,56.1315,1.4315,50.9768,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.6848
