batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,loss,rnn_encoder_type,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=00.ckpt,0,30,0.45234376,38.8076,1.6793,0.0003,4.6506,1.3069,6.9783,0.6033,691.869,34.7062,218.8372,10.9775,195.3949,9.8016,182.5576,9.1576,165.5971,8.3068,152.4613,7.6479,132.2598,6.6346,54.2391,3.1958,17.1558,1.0108,15.318,0.9025,14.3116,0.8432,12.982,0.7649,11.9522,0.7042,10.3685,0.6109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.7166
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=01.ckpt,1,30,0.46523437,45.5536,1.6786,0.0004,4.6204,1.2842,8.5413,0.6144,835.8886,41.2909,237.9593,11.7546,216.1526,10.6774,204.0223,10.0782,187.9844,9.286,174.869,8.6381,153.4673,7.5809,64.4332,3.519,18.3427,1.0018,16.6618,0.91,15.7267,0.8589,14.4905,0.7914,13.4795,0.7362,11.8298,0.6461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.7327
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=02.ckpt,2,30,0.47369784,46.7,1.6788,0.0004,4.7447,1.2314,9.3386,0.6663,863.5487,42.7195,246.4173,12.1902,225.6165,11.1612,214.1137,10.5921,198.2063,9.8052,184.5794,9.1311,156.0985,7.7221,64.0521,3.492,18.2775,0.9965,16.7347,0.9124,15.8815,0.8658,14.7016,0.8015,13.6908,0.7464,11.5783,0.6312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.7341
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=03.ckpt,3,30,0.47441396,51.9684,1.6785,0.0004,4.7524,1.2801,8.8447,0.6175,943.9398,46.3696,248.8677,12.2253,228.8265,11.2408,217.6127,10.6899,202.7156,9.9581,190.5382,9.3599,166.7571,8.1917,77.4478,4.1122,20.419,1.0842,18.7746,0.9969,17.8546,0.948,16.6323,0.8831,15.6332,0.8301,13.682,0.7265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7457
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=04.ckpt,4,30,0.47884116,52.9059,1.6788,0.0004,4.8447,1.2403,9.1791,0.6557,965.4854,47.4052,255.9864,12.5689,236.0771,11.5914,224.868,11.041,209.5343,10.2881,196.4297,9.6447,167.8229,8.2401,73.7088,3.8161,19.543,1.0118,18.023,0.9331,17.1673,0.8888,15.9966,0.8282,14.9962,0.7764,12.8122,0.6633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7389
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=05.ckpt,5,30,0.4799478,54.4936,1.6791,0.0003,4.9742,1.2392,9.4575,0.6578,988.351,48.6065,257.8401,12.6804,238.2857,11.7187,227.2567,11.1763,212.1702,10.4344,198.7135,9.7726,169.1239,8.3174,71.1292,3.8462,18.5561,1.0034,17.1488,0.9273,16.3551,0.8844,15.2694,0.8257,14.3009,0.7733,12.1714,0.6582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.7401
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=06.ckpt,6,30,0.48092443,54.1517,1.6789,0.0003,5.0931,1.2216,9.7582,0.6755,983.8191,48.3897,257.9733,12.6886,238.6334,11.7373,228.1316,11.2208,213.2376,10.4882,200.2424,9.849,171.0625,8.4138,69.5381,3.7501,18.234,0.9833,16.867,0.9096,16.1248,0.8696,15.072,0.8128,14.1535,0.7633,12.091,0.6521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.7423
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=07.ckpt,7,30,0.48229164,55.8539,1.6769,0.0003,5.1816,1.2284,10.5573,0.6645,994.3855,48.6797,258.7683,12.6679,239.7523,11.737,228.8243,11.202,213.7662,10.4648,200.1626,9.7989,170.5511,8.3493,66.926,3.6395,17.4161,0.9471,16.1363,0.8775,15.4008,0.8375,14.3873,0.7824,13.4717,0.7326,11.4787,0.6242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.7627
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=08.ckpt,8,30,0.48430976,57.9963,1.6788,0.0002,5.2919,1.2442,9.5358,0.6525,1040.4266,51.0901,262.9116,12.9102,243.8129,11.9724,233.0887,11.4458,218.1474,10.7121,204.5351,10.0437,171.6356,8.4282,70.9321,3.778,17.9243,0.9547,16.6222,0.8853,15.8911,0.8464,14.8724,0.7921,13.9444,0.7427,11.7014,0.6232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.7526
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=09.ckpt,9,30,0.48164073,56.34,1.6792,0.0002,5.428,1.2191,9.1291,0.6785,1007.245,49.5754,262.0977,12.9001,242.2482,11.9232,231.2237,11.3806,215.983,10.6304,202.5,9.9668,170.1026,8.3723,66.6221,3.5403,17.3359,0.9212,16.023,0.8515,15.2938,0.8127,14.2857,0.7591,13.3939,0.7118,11.2511,0.5979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.7546
