batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,loss,rnn_encoder_type,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=00.ckpt,0,30,0.45234376,41.9502,5.8346,0.0007,4.0435,1.29,6.4291,0.6109,2137.8604,56.6425,683.6369,18.1129,610.003,16.162,571.2297,15.1347,523.188,13.8618,487.374,12.9129,429.6883,11.3846,188.1798,5.3079,60.1754,1.6973,53.694,1.5145,50.2811,1.4182,46.0523,1.299,42.8999,1.21,37.8222,1.0668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676,0.7166
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=01.ckpt,1,30,0.46523437,48.9081,5.8179,0.0008,4.0367,1.276,8.2619,0.6189,2605.3179,68.4149,746.5781,19.6049,678.2291,17.8101,641.329,16.8411,595.1648,15.6288,560.2009,14.7107,500.359,13.1393,246.5994,6.4583,70.6654,1.8507,64.196,1.6812,60.7033,1.5898,56.3337,1.4753,53.0243,1.3887,47.3602,1.2403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.684,0.7327
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=02.ckpt,2,30,0.47369784,50.1009,5.8203,0.0007,4.1557,1.2225,8.6626,0.6717,2706.228,71.0221,778.6043,20.4337,713.3645,18.7215,678.3133,17.8016,633.7906,16.6332,599.4528,15.732,534.2378,14.0205,252.1313,6.5607,72.5403,1.8876,66.4621,1.7294,63.1965,1.6444,59.0484,1.5365,55.8493,1.4533,49.7734,1.2952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.7341
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=03.ckpt,3,30,0.47441396,55.633,5.8186,0.0008,4.2008,1.271,8.7187,0.623,2988.3752,78.2091,794.4784,20.7924,731.3499,19.1402,697.2282,18.2472,653.4359,17.1011,619.7151,16.2186,559.0342,14.6305,280.2776,7.2087,74.5136,1.9165,68.5928,1.7642,65.3925,1.6819,61.2853,1.5762,58.1226,1.4949,52.4314,1.3485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7457
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=04.ckpt,4,30,0.47884116,56.7115,5.8247,0.0007,4.307,1.2352,9.462,0.6578,3076.423,80.426,816.943,21.3571,753.8538,19.7078,719.5511,18.811,675.4409,17.6578,641.0514,16.7588,576.7186,15.077,274.6006,7.0242,72.9201,1.8653,67.2888,1.7212,64.2269,1.6429,60.2897,1.5422,57.2201,1.4637,51.4777,1.3168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7389
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=05.ckpt,5,30,0.4799478,58.4351,5.8315,0.0005,4.4479,1.2322,9.3716,0.6609,3163.5093,82.7302,827.6221,21.6435,765.1838,20.0106,731.3647,19.1262,687.5132,17.9794,652.8332,17.0725,585.1629,15.3028,281.2454,7.184,73.5781,1.8794,68.0271,1.7376,65.0205,1.6608,61.122,1.5613,58.0388,1.4825,52.0227,1.3288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.7401
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=06.ckpt,6,30,0.48092443,58.0765,5.822,0.0005,4.5643,1.2154,9.5117,0.6782,3135.2112,81.9489,823.7738,21.532,762.6044,19.9331,729.6548,19.0719,687.5507,17.9714,654.4826,17.107,589.712,15.414,274.2361,7.1197,72.0553,1.8707,66.7048,1.7318,63.8227,1.657,60.1399,1.5613,57.2474,1.4862,51.582,1.3392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.7423
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=07.ckpt,7,30,0.48229164,59.6763,5.7631,0.0005,4.6655,1.2238,10.0262,0.6676,3189.845,83.2433,832.2825,21.7195,770.6298,20.1106,736.9555,19.2318,693.3438,18.0937,658.9376,17.1959,593.1916,15.4801,274.4327,7.0894,71.604,1.8497,66.2998,1.7127,63.4027,1.6379,59.6506,1.541,56.6905,1.4645,51.0342,1.3184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.724,0.7627
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=08.ckpt,8,30,0.48430976,62.1982,5.831,0.0004,4.772,1.237,9.1658,0.6557,3324.2253,86.8957,841.2467,21.9903,780.4225,20.4004,747.1458,19.5305,703.99,18.4024,669.4634,17.4999,601.7715,15.7304,284.524,7.2198,72.0032,1.8271,66.7972,1.695,63.949,1.6227,60.2553,1.529,57.3001,1.454,51.5063,1.307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716,0.7526
16,0.001,3,10,100,32,16,256,184,440338,73,30,ContrastiveLoss,gru,/home/dpetrovitch/dzagcoffee/train_trace/gender/checkpoints_2025-10-10 13:22:49.999835_ContrastiveLoss_gru_logreg/model_16_0.001_3_10_100_256_32_16_256_ContrastiveLoss_gruepoch=09.ckpt,9,30,0.48164073,60.4221,5.8319,0.0003,4.9209,1.2135,9.0381,0.6806,3231.142,84.5071,840.5905,21.9848,777.4747,20.334,742.8924,19.4296,697.9986,18.2554,662.3642,17.3234,595.3196,15.57,264.5055,6.788,68.8118,1.7659,63.6451,1.6333,60.8141,1.5607,57.1391,1.4664,54.222,1.3915,48.7336,1.2507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.708,0.7546
