,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1
0,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.572,11,32.2516,1.0,0.0039,3.6438,1.2434,8.3764,0.6538,114.6751,1.6794,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0107,0.0107
1,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.592,11,33.3892,1.0,0.0044,3.4588,1.2343,8.2915,0.6608,132.9915,1.853,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0118,0.0118
2,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.604,11,33.2358,1.0,0.0045,3.3828,1.213,8.0202,0.6821,145.9071,2.2415,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0177,0.0177
3,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.608,11,34.795,1.0,0.0047,3.2823,1.2237,8.6625,0.6682,160.8094,2.5285,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0128,0.0128
4,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.676,11,34.8494,1.0,0.0049,3.2057,1.2077,9.0412,0.6847,168.4079,2.7409,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0104,0.0104
5,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.636,11,34.4889,1.0,0.0048,3.1424,1.1902,9.7242,0.704,172.2386,2.8363,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0109,0.0109
6,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.64,11,35.1797,1.0,0.0051,3.0578,1.1957,9.4079,0.6974,180.1088,3.1594,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.011,0.011
7,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.648,11,35.3995,1.0,0.0054,3.0,1.1879,10.0866,0.7061,183.7765,3.1854,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0112,0.0112
8,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.664,11,36.0416,1.0,0.0055,2.9488,1.1954,9.6548,0.6972,190.3815,3.4534,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0099,0.0099
9,64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=09.ckpt,9,0.652,11,36.1867,1.0,0.0058,2.8878,1.1908,10.2254,0.7026,192.8032,3.4322,0.0001,0.0,0.0,0.0001,0.0,0.0008,0.0001,0.0109,0.0109
