batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,metric_ripser_sum,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,time_ripser_sum
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.556,12,0.2875,49.2726,3.286,0.0025,3.6817,1.2365,9.1161,0.6662,657.4894,18.9616,676.451,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.0641,0.0641,0.0641
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.604,12,0.2875,49.6396,3.2557,0.0009,3.8162,1.1984,9.6293,0.7017,800.2365,26.8808,827.1173,0.0001,0.0001,0.0,0.0001,0.0,0.0012,0.0008,0.0631,0.0631,0.0631
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.588,12,0.2875,49.939,3.2034,0.0005,4.0946,1.1843,10.7802,0.7158,870.0344,28.1886,898.223,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.0671,0.0671,0.0671
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.62,12,0.2875,51.6685,3.2259,0.0003,4.2758,1.1896,10.2596,0.7081,950.1552,33.0843,983.2394,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.0652,0.0652,0.0652
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.604,12,0.2875,53.6011,3.2425,0.0003,4.3342,1.1959,10.4554,0.7005,1000.5387,33.6045,1034.1432,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.0709,0.0709,0.0709
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.608,12,0.2875,54.1343,3.2387,0.0002,4.3882,1.1936,9.46,0.7025,1025.7251,37.1633,1062.8884,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.068,0.068,0.068
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.592,12,0.2875,54.176,3.2598,0.0002,4.433,1.1843,10.0981,0.7133,1035.3567,36.9165,1072.2732,0.0001,0.0001,0.0,0.0001,0.0,0.0012,0.0008,0.0813,0.0813,0.0813
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.636,12,0.2875,55.5096,3.2608,0.0002,4.4653,1.1888,10.2911,0.7077,1066.8894,35.5369,1102.4265,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.069,0.069,0.069
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.676,12,0.2875,56.1581,3.2862,0.0002,4.4666,1.1897,10.3475,0.7065,1097.7484,36.4157,1134.1642,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.0666,0.0666,0.0666
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.652,12,0.2875,56.6204,3.2673,0.0002,4.4689,1.1944,10.4016,0.7005,1113.452,37.5681,1151.0201,0.0001,0.0001,0.0,0.0002,0.0,0.0012,0.0008,0.0711,0.0711,0.0711
