batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,sample_fraction,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,metric_ripser_sum,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,time_ripser_sum
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.604,26,1.0,49.4087,10.2495,0.0029,3.461,1.2195,8.9195,0.6838,2033.2894,75.5788,2108.868,0.0001,0.0002,0.0,0.0002,0.0001,0.0018,0.0067,0.6059,0.6059,0.6059
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.664,26,1.0,52.3817,9.7632,0.0019,3.4807,1.2107,11.2155,0.6887,2571.2544,106.0728,2677.3276,0.0001,0.0003,0.0,0.0002,0.0001,0.0019,0.0068,0.6131,0.6131,0.6131
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.656,26,1.0,53.6161,9.9665,0.001,3.6136,1.1942,10.2301,0.7052,2829.061,118.325,2947.3862,0.0001,0.0002,0.0,0.0002,0.0001,0.0019,0.0067,0.6196,0.6196,0.6196
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.692,26,1.0,56.0269,10.4453,0.0008,3.6117,1.1908,11.5419,0.7081,3000.8967,112.066,3112.9626,0.0001,0.0003,0.0,0.0002,0.0001,0.0019,0.0066,0.5765,0.5765,0.5765
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.672,26,1.0,57.1043,10.6473,0.0007,3.6526,1.1851,11.2921,0.7136,3176.8445,120.5397,3297.3843,0.0001,0.0002,0.0,0.0002,0.0001,0.0019,0.0066,0.5903,0.5903,0.5903
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.672,26,1.0,58.6581,10.8707,0.0005,3.6347,1.1905,10.8794,0.7069,3336.0476,128.3218,3464.3696,0.0001,0.0002,0.0,0.0002,0.0001,0.0019,0.0066,0.5948,0.5948,0.5948
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.676,26,1.0,59.6631,11.165,0.0005,3.6327,1.1899,11.4679,0.7075,3416.4167,127.5397,3543.9563,0.0001,0.0003,0.0,0.0002,0.0001,0.0019,0.0067,0.6157,0.6157,0.6157
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.664,26,1.0,60.2285,11.0635,0.0005,3.6033,1.1858,11.6593,0.7117,3524.6929,135.6432,3660.3364,0.0001,0.0003,0.0,0.0002,0.0001,0.0019,0.0067,0.6113,0.6113,0.6113
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.668,26,1.0,60.8588,11.0675,0.0005,3.5744,1.1865,11.8942,0.711,3577.5613,127.5785,3705.14,0.0001,0.0002,0.0,0.0002,0.0001,0.0019,0.0066,0.577,0.577,0.577
32,0.001,3,10,50,16,8,128,gender/checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.68,26,1.0,61.6552,11.3232,0.0005,3.6493,1.1915,12.189,0.7046,3719.3315,138.3982,3857.73,0.0001,0.0003,0.0,0.0002,0.0001,0.0019,0.0067,0.618,0.618,0.618
