batch_size	learning_rate	split_count	cnt_min	cnt_max	embedding_dim	category_embedding_dim	hidden_size	checkpoint	epoch_num	accuracy	early_stop_epoch	hidden_size	metric_rankme	metric_coherence	metric_pseudo_condition_number	metric_alpha_req	metric_stable_rank	metric_ne_sum	metric_self_clustering	metric_ripser	std_metric_rankme	std_metric_coherence	std_metric_pseudo_condition_number	std_metric_alpha_req	std_metric_stable_rank	std_metric_ne_sum	std_metric_self_clustering	std_metric_ripser	time_rankme	time_coherence	time_pseudo_condition_number	time_alpha_req	time_stable_rank	time_ne_sum	time_self_clustering	time_ripser	std_time_rankme	std_time_coherence	std_time_pseudo_condition_number	std_time_alpha_req	std_time_stable_rank	std_time_ne_sum	std_time_self_clustering	std_time_ripser
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=00.ckpt	0	0.45361111111111113	2	64	26.2531	4.7318	0.0041	3.5463	1.1993	6.0229	0.695	-604.3274	0.1456	1.0892	1E-04	0.0269	0.0035	0.2815	0.004	2.9861	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0011	0.1363	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0106
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=01.ckpt	1	0.46305555555555555	2	64	27.8485	3.3035	0.0045	3.1645	1.1695	7.0389	0.7286	-703.362	0.109	0.6109	0.0002	0.0222	0.0025	0.3321	0.003	3.7341	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0017	0.1654	0.0	0.0	0.0	0.0	0.0	0.0	0.0012	0.0153
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=02.ckpt	2	0.48527777777777775	2	64	29.0274	2.9699	0.0045	2.9383	1.1657	6.5283	0.7324	-761.2002	0.1075	0.3896	0.0002	0.0186	0.0024	0.3185	0.003	3.9943	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0012	0.1787	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0226
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=03.ckpt	3	0.4930555555555556	2	64	27.8479	2.8828	0.0038	2.9497	1.1443	6.3437	0.7603	-762.319	0.1121	0.4357	1E-04	0.0188	0.002	0.2929	0.0027	3.2443	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0011	0.1765	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0147
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=04.ckpt	4	0.5008333333333334	2	64	28.588	2.7383	0.0036	2.8297	1.1438	7.1745	0.7601	-802.8786	0.1108	0.3609	1E-04	0.0215	0.0021	0.3573	0.0028	3.5917	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0011	0.1791	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0188
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=05.ckpt	5	0.505	2	64	27.7362	2.8332	0.0033	2.8425	1.1324	6.564	0.7759	-795.069	0.1146	0.3195	1E-04	0.0234	0.0019	0.2554	0.0026	4.0276	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0012	0.1748	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0195
64	0.001	3	10	50	16	8	64	checkpoints/model_64_0.001_3_10_50_64epoch=06.ckpt	6	0.5058333333333334	2	64	29.156	2.629	0.0034	2.747	1.1458	7.4946	0.7569	-843.9393	0.1319	0.2743	0.0002	0.0199	0.0021	0.3447	0.0028	5.2665	0.0001	0.0001	0.0	0.0001	0.0	0.0005	0.0011	0.1803	0.0	0.0	0.0	0.0	0.0	0.0	0.0001	0.0105
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt	0	0.4361111111111111	19	128	33.6952	3.6088	0.0011	4.3265	1.1402	6.3861	0.7691	-738.9336	0.1859	0.4897	0.0	0.0213	0.002	0.2719	0.0025	2.8152	0.0001	0.0001	0.0	0.0001	0.0001	0.0013	0.001	0.1544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0148
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt	1	0.47333333333333333	19	128	37.7258	3.0702	0.0009	4.1462	1.1205	7.4062	0.7954	-871.4161	0.1737	0.4935	0.0	0.016	0.0018	0.3483	0.0025	4.5282	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0132
64	0.001	3	10	50	16	8	128	checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt	2	0.49194444444444446	19	128	40.7702	2.9047	0.0008	4.0249	1.124	8.09	0.7896	-992.4264	0.1907	0.3928	0.0	0.0156	0.0017	0.4805	0.0023	5.1223	0.0001	0.0001	0.0	0.0002	0.0001	0.0013	0.001	0.1464	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0131
