,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,source_features,loss,rnn_encoder_type,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc,sample_fraction
0,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=00.ckpt,0,30,0.373223,29.5837,6.0041,0.0015,4.0292,1.2799,6.1767,0.618,,1052.3623,38.4612,367.4272,13.4285,326.4155,11.9297,305.057,11.1491,279.0208,10.1975,259.5655,9.4865,222.5056,8.132,77.92,3.2767,27.2054,1.144,24.1687,1.0163,22.5873,0.9498,20.6595,0.8688,19.219,0.8082,16.475,0.6928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.608,0.6004,0.525
1,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=01.ckpt,1,30,0.40410537,34.5442,5.8674,0.0014,4.1154,1.2493,6.6308,0.6457,,1273.0844,46.0894,404.099,14.6296,365.0801,13.217,344.4818,12.4712,319.305,11.5598,300.4022,10.8754,266.2667,9.6396,95.1872,3.8776,30.2141,1.2308,27.2967,1.112,25.7565,1.0492,23.8741,0.9726,22.4608,0.915,19.9085,0.811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.6971,0.525
2,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=02.ckpt,2,30,0.42083326,36.6291,5.7794,0.0008,4.3731,1.21,7.9426,0.6848,,1407.7882,50.8103,429.8025,15.5125,392.8751,14.1798,373.3108,13.4736,349.1856,12.6029,330.6633,11.9344,294.1154,10.6153,101.4466,4.0833,30.972,1.2466,28.311,1.1395,26.9011,1.0828,25.1627,1.0128,23.8279,0.9591,21.1942,0.8531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.6892,0.525
3,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=03.ckpt,3,30,0.42873773,39.807,5.7904,0.0009,4.4663,1.2217,8.036,0.672,,1549.8403,55.8057,444.7724,16.0151,408.6295,14.7137,389.7261,14.033,365.9601,13.1773,347.8788,12.5262,314.0032,11.3064,113.3713,4.3238,32.5352,1.2408,29.8914,1.14,28.5086,1.0873,26.7701,1.021,25.4474,0.9705,22.9694,0.876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664,0.7025,0.525
4,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=04.ckpt,4,30,0.43872556,41.0805,5.6683,0.0007,4.5449,1.2055,8.0827,0.6894,,1593.5879,57.3991,453.7326,16.3429,417.9637,15.0545,398.9051,14.3681,374.5659,13.4914,355.9195,12.8198,317.3361,11.4301,108.4039,4.1681,30.8652,1.1868,28.432,1.0932,27.1355,1.0434,25.4799,0.9797,24.2114,0.9309,21.5868,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.7111,0.525
5,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=05.ckpt,5,30,0.44037986,41.5557,5.6408,0.0005,4.6692,1.202,8.2653,0.6932,,1630.4182,58.6434,459.1456,16.5147,424.0159,15.2511,404.9999,14.5672,380.8869,13.6999,362.0565,13.0226,323.5444,11.6373,105.8009,4.1084,29.7948,1.157,27.5152,1.0685,26.2812,1.0205,24.7165,0.9598,23.4945,0.9123,20.9954,0.8153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.7081,0.525
6,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=06.ckpt,6,30,0.43995088,43.7234,5.6806,0.0006,4.6238,1.2104,8.8062,0.6842,,1704.1014,61.3662,466.9161,16.8141,432.5296,15.5758,413.8722,14.9039,390.0467,14.0459,371.1485,13.3654,330.1191,11.8879,107.7934,4.1445,29.5349,1.1356,27.3598,1.052,26.1796,1.0066,24.6725,0.9486,23.4771,0.9027,20.8818,0.8029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.688,0.725,0.525
7,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=07.ckpt,7,30,0.44785538,44.6758,5.6546,0.0005,4.6193,1.2127,9.0061,0.6809,,1747.2952,62.8581,469.0643,16.8744,434.7948,15.6415,416.3065,14.9764,392.5002,14.12,373.9777,13.4537,334.5124,12.0339,109.7736,4.218,29.4689,1.1323,27.3159,1.0496,26.1544,1.005,24.6588,0.9475,23.4951,0.9028,21.0157,0.8075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672,0.7089,0.525
8,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=08.ckpt,8,30,0.4463848,44.1426,5.7382,0.0005,4.6403,1.2005,8.9524,0.6942,,1731.631,62.3026,467.9012,16.8347,434.1971,15.622,415.8686,14.9626,392.3835,14.1176,374.219,13.4641,338.1177,12.1652,109.7656,4.2263,29.6596,1.142,27.5231,1.0597,26.3613,1.015,24.8726,0.9577,23.7212,0.9133,21.4328,0.8252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.692,0.7453,0.525
9,16,0.001,3,10,100,32,8,128,184,435241,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",ContrastiveLoss,gru,gender/checkpoints_large_30/model_16_0.001_3_10_100_128_32_8_128_ContrastiveLoss_gruepoch=09.ckpt,9,30,0.44325978,44.0694,5.8412,0.0004,4.7913,1.1913,8.7994,0.7051,,1717.5754,61.8079,471.1856,16.9559,437.3741,15.7392,419.0975,15.0815,395.8149,14.2436,377.4551,13.5829,340.8221,12.2647,96.3411,3.9269,26.4294,1.0773,24.5329,1.0,23.5077,0.9582,22.2018,0.905,21.172,0.863,19.1172,0.7792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.696,0.7364,0.525
