,batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,mcc_code_in,term_id_in,tr_type_in,num_epochs,source_features,loss,rnn_encoder_type,checkpoint,epoch_num,early_stop_epoch,recall_topk,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser,metric_ripser_sum_H0,metric_ripser_sq_sum_H0,metric_ripser_sum_H0_norm0.5,metric_ripser_sq_sum_H0_norm0.5,metric_ripser_sum_H0_norm0.7,metric_ripser_sq_sum_H0_norm0.7,metric_ripser_sum_H0_norm0.8,metric_ripser_sq_sum_H0_norm0.8,metric_ripser_sum_H0_norm0.9,metric_ripser_sq_sum_H0_norm0.9,metric_ripser_sum_H0_norm0.95,metric_ripser_sq_sum_H0_norm0.95,metric_ripser_sum_H0_norm0.99,metric_ripser_sq_sum_H0_norm0.99,metric_ripser_sum_H1,metric_ripser_sq_sum_H1,metric_ripser_sum_H1_norm0.5,metric_ripser_sq_sum_H1_norm0.5,metric_ripser_sum_H1_norm0.7,metric_ripser_sq_sum_H1_norm0.7,metric_ripser_sum_H1_norm0.8,metric_ripser_sq_sum_H1_norm0.8,metric_ripser_sum_H1_norm0.9,metric_ripser_sq_sum_H1_norm0.9,metric_ripser_sum_H1_norm0.95,metric_ripser_sq_sum_H1_norm0.95,metric_ripser_sum_H1_norm0.99,metric_ripser_sq_sum_H1_norm0.99,std_rankme,std_coherence,std_pseudo_condition_number,std_alpha_req,std_stable_rank,std_ne_sum,std_self_clustering,std_ripser,std_ripser_sum_H0,std_ripser_sq_sum_H0,std_ripser_sum_H0_norm0.5,std_ripser_sq_sum_H0_norm0.5,std_ripser_sum_H0_norm0.7,std_ripser_sq_sum_H0_norm0.7,std_ripser_sum_H0_norm0.8,std_ripser_sq_sum_H0_norm0.8,std_ripser_sum_H0_norm0.9,std_ripser_sq_sum_H0_norm0.9,std_ripser_sum_H0_norm0.95,std_ripser_sq_sum_H0_norm0.95,std_ripser_sum_H0_norm0.99,std_ripser_sq_sum_H0_norm0.99,std_ripser_sum_H1,std_ripser_sq_sum_H1,std_ripser_sum_H1_norm0.5,std_ripser_sq_sum_H1_norm0.5,std_ripser_sum_H1_norm0.7,std_ripser_sq_sum_H1_norm0.7,std_ripser_sum_H1_norm0.8,std_ripser_sq_sum_H1_norm0.8,std_ripser_sum_H1_norm0.9,std_ripser_sq_sum_H1_norm0.9,std_ripser_sum_H1_norm0.95,std_ripser_sq_sum_H1_norm0.95,std_ripser_sum_H1_norm0.99,std_ripser_sq_sum_H1_norm0.99,accuracy,roc_auc,sample_fraction
0,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=00.ckpt,0,30,0.065257356,1.2477,11.7025,0.0,4.4108,1.0001,1.063,0.9994,,33.3543,4.3039,953.8176,123.0767,813.7286,105.0002,735.1495,94.8606,623.7084,80.4807,504.1745,65.0566,30.0852,3.8821,1.5672,0.0489,44.8174,1.3975,38.235,1.1922,34.5428,1.0771,29.3064,0.9138,23.6898,0.7387,1.4136,0.0441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.564,0.5729,1.0
1,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=01.ckpt,1,30,0.065257356,1.1958,11.7026,0.0,4.1093,1.0001,1.0576,0.9995,,24.1513,4.0815,1105.7261,186.8633,943.8889,159.5134,851.149,143.8408,722.7077,122.1347,590.5929,99.8078,35.5732,6.0117,0.932,0.0298,42.6705,1.364,36.4251,1.1643,32.8462,1.0499,27.8896,0.8915,22.7912,0.7285,1.3728,0.0439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556,0.5628,1.0
2,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=02.ckpt,2,30,0.065257356,1.1486,11.6987,0.0,3.7982,1.0001,1.0138,0.9997,,18.7223,3.5816,974.2364,186.374,808.3488,154.6392,717.1054,137.1841,596.4271,114.0981,493.5322,94.414,42.621,8.1535,0.6705,0.0223,34.8886,1.1603,28.948,0.9627,25.6805,0.8541,21.3588,0.7103,17.674,0.5878,1.5263,0.0508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.616,0.5623,1.0
3,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=03.ckpt,3,30,0.06507353,1.1257,11.688,0.0,3.6059,1.0001,1.0081,0.9997,,15.1484,3.5018,1176.8084,272.0346,1000.2547,231.2219,901.2369,208.3326,772.2295,178.5109,653.3184,151.023,52.6055,12.1605,0.4708,0.0153,36.5752,1.1853,31.0879,1.0075,28.0105,0.9078,24.0009,0.7778,20.3051,0.6581,1.635,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.533,1.0
4,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=04.ckpt,4,30,0.06544118,1.1458,11.7026,0.0,3.7448,1.0001,1.0438,0.9997,,15.3907,3.744,1333.1582,324.3082,1137.3836,276.6835,1026.9803,249.8265,880.3261,214.1509,731.6419,177.9815,61.2165,14.8917,0.3565,0.0124,30.8774,1.0784,26.3431,0.9201,23.786,0.8308,20.3893,0.7121,16.9456,0.5918,1.4178,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.548,0.5441,1.0
5,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=05.ckpt,5,30,0.06507353,1.1305,11.7025,0.0,3.5934,1.0001,1.0279,0.9997,,13.5619,3.6364,1422.9441,381.5345,1206.4586,323.4882,1084.4223,290.7665,925.8254,248.2419,775.42,207.9137,68.1976,18.2858,0.2997,0.0105,31.4403,1.1039,26.657,0.936,23.9606,0.8413,20.4563,0.7183,17.1331,0.6016,1.5068,0.0529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.5456,1.0
6,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=06.ckpt,6,30,0.06507353,1.1248,11.7023,0.0,3.4607,1.0001,1.023,0.9997,,12.5338,3.7795,1547.9112,466.7587,1322.0312,398.6466,1196.8328,360.8941,1025.9477,309.3653,877.3553,264.5586,74.3969,22.4337,0.2678,0.0091,33.0681,1.1233,28.2426,0.9594,25.568,0.8685,21.9174,0.7445,18.743,0.6367,1.5893,0.054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.568,0.5491,1.0
7,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=07.ckpt,7,30,0.06507353,1.129,11.7024,0.0,3.4143,1.0001,1.0199,0.9996,,12.2881,4.1119,1720.3169,575.6601,1443.3729,482.9879,1289.2966,431.4302,1083.9792,362.726,890.3114,297.92,83.5147,27.9461,0.2001,0.0073,28.0121,1.0246,23.5026,0.8597,20.9938,0.7679,17.6506,0.6456,14.4971,0.5303,1.3599,0.0497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.5462,1.0
8,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=08.ckpt,8,30,0.06507353,1.1249,11.702,0.0,3.2725,1.0001,1.0133,0.9994,,12.2228,4.5984,1914.2618,720.1721,1643.4458,618.2873,1493.2971,561.7993,1296.1193,487.6182,1131.9961,425.8728,86.7883,32.651,0.2038,0.007,31.925,1.0928,27.4085,0.9382,24.9044,0.8525,21.6159,0.7399,18.8788,0.6462,1.4474,0.0495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.5644,1.0
9,16,0.001,3,10,100,32,8,128,184,440338,73,30,"{'sourceA': ['event_time', 'mcc_code', 'term_id'], 'sourceB': ['event_time', 'tr_type', 'amount']}",BarlowTwinsLoss,gru,gender/checkpoints_2025-10-05 22:08:41.254649 BarlowTwinsLoss default catboost downstream/model_16_0.001_3_10_100_128_32_8_128_BarlowTwinsLoss_gruepoch=09.ckpt,9,30,0.06507353,1.1224,11.7018,0.0,3.2666,1.0001,1.0115,0.9993,,11.8538,5.0163,2121.0483,897.5831,1840.3973,778.8175,1687.3339,714.0443,1469.2811,621.7689,1288.4633,545.2506,123.9566,52.4558,0.1875,0.0062,33.5581,1.1144,29.1178,0.9669,26.6961,0.8865,23.2462,0.772,20.3854,0.677,1.9612,0.0651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.536,0.5343,1.0
