batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.6986046511627907,7,128,27.9721,1.3855,0.0005,5.2716,1.3267,3.6416,0.5761,225.3694,8.053,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0293,0.0293
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.6902325581395349,7,128,28.9401,1.3819,0.0005,5.1806,1.2645,4.2733,0.6252,244.9946,9.4261,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0292,0.0292
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.7069767441860465,7,128,31.0828,1.3781,0.0005,5.0843,1.2568,5.3014,0.6282,278.2106,14.2423,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0311,0.0311
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.693953488372093,7,128,32.6281,1.3766,0.0006,5.0478,1.2431,6.8756,0.6402,306.8828,17.9493,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0312,0.0312
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.7097674418604651,7,128,32.4853,1.3761,0.0005,5.0737,1.2076,7.2131,0.6795,317.4407,19.4126,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.029,0.029
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.7209302325581395,7,128,35.2259,1.3709,0.0006,5.0648,1.2354,7.3293,0.6488,340.2142,21.1936,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.031,0.031
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.7134883720930233,7,128,35.5117,1.3748,0.0006,5.0836,1.2162,7.8458,0.6678,350.4244,21.1922,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0365,0.0365
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.7023255813953488,7,128,36.7621,1.3766,0.0006,5.0872,1.2242,8.2871,0.6585,367.2541,22.5912,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0424,0.0424
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.6995348837209302,7,128,36.2303,1.3733,0.0005,5.1309,1.1984,9.0957,0.689,367.5107,22.7893,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0493,0.0493
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.7172093023255814,7,128,36.5227,1.3772,0.0005,5.1286,1.1906,8.4987,0.6966,368.517,22.9581,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0475,0.0475
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.7088372093023256,7,128,37.8612,1.3756,0.0006,5.0992,1.2112,9.1214,0.6735,383.3999,23.6586,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0407,0.0407
16,0.001,3,10,50,16,8,128,checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.7227906976744186,7,128,38.1338,1.3739,0.0005,5.1122,1.2076,8.9546,0.6783,384.8202,24.2966,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0432,0.0432
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.6809302325581396,13,128,27.3177,1.3915,0.0005,5.2753,1.4244,2.9021,0.5132,216.1894,8.1083,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0263,0.0263
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.6874418604651162,13,128,30.4115,1.39,0.0005,5.1944,1.3479,4.9024,0.5518,238.5744,8.9165,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0328,0.0328
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.6902325581395349,13,128,32.6453,1.3879,0.0006,5.0905,1.3652,4.5394,0.5333,261.2808,10.3686,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0523,0.0523
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.7134883720930233,13,128,34.979,1.3849,0.0007,4.9759,1.3425,5.5272,0.5525,286.0258,12.8529,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0557,0.0557
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.6865116279069767,13,128,36.0665,1.3788,0.0007,4.9083,1.32,6.3643,0.5692,308.3083,14.6344,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0592,0.0592
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.72,13,128,36.9155,1.3797,0.0006,4.9247,1.2826,7.7266,0.6024,322.9348,15.8882,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0433,0.0433
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.7106976744186047,13,128,37.1535,1.3778,0.0006,4.9335,1.2652,7.8467,0.6198,336.6943,17.014,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0403,0.0403
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.7358139534883721,13,128,37.849,1.3728,0.0006,4.9328,1.2479,8.1844,0.6362,347.4567,18.1388,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0414,0.0414
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.7246511627906976,13,128,39.1392,1.3718,0.0006,4.9029,1.268,7.7858,0.6152,367.4017,18.4847,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0491,0.0491
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.7265116279069768,13,128,39.804,1.3737,0.0006,4.9268,1.2604,8.3188,0.6223,375.3456,19.3992,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0559,0.0559
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=10.ckpt,10,0.72,13,128,40.349,1.373,0.0006,4.9606,1.2728,8.5332,0.6125,385.8433,20.0979,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0472,0.0472
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=11.ckpt,11,0.707906976744186,13,128,40.0495,1.375,0.0005,4.9714,1.2512,8.9485,0.6334,383.7956,19.9812,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.028,0.028
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=12.ckpt,12,0.7106976744186047,13,128,40.1233,1.3739,0.0006,4.9554,1.2539,8.8755,0.6308,390.1681,21.1195,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0311,0.0311
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=13.ckpt,13,0.7218604651162791,13,128,40.3359,1.375,0.0006,4.9452,1.2525,8.4076,0.6315,395.0637,21.4838,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0332,0.0332
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=14.ckpt,14,0.7116279069767442,13,128,40.4242,1.3743,0.0006,4.9554,1.2447,8.9795,0.6394,395.6552,20.9873,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0358,0.0358
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=15.ckpt,15,0.7051162790697675,13,128,40.8653,1.375,0.0006,4.9521,1.2502,9.3641,0.6344,402.9352,21.1476,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0391,0.0391
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=16.ckpt,16,0.7153488372093023,13,128,40.5998,1.3771,0.0006,4.9588,1.2421,8.8183,0.642,400.9716,21.2253,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0394,0.0394
32,0.001,3,10,50,16,8,128,checkpoints/model_32_0.001_3_10_50_128epoch=17.ckpt,17,0.7125581395348837,13,128,41.4983,1.3757,0.0007,4.9182,1.2535,8.8126,0.631,411.3016,21.4025,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0402,0.0402
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=00.ckpt,0,0.6846511627906977,20,128,26.8423,1.3911,0.0005,5.3396,1.5385,3.2355,0.4412,203.3261,7.4396,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.032,0.032
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=01.ckpt,1,0.6986046511627907,20,128,29.3304,1.3878,0.0005,5.2207,1.529,2.7853,0.454,228.4766,7.965,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.034,0.034
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=02.ckpt,2,0.6902325581395349,20,128,32.0992,1.3865,0.0006,5.2097,1.4362,5.2318,0.4981,244.6348,9.2083,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0355,0.0355
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=03.ckpt,3,0.7004651162790698,20,128,34.2775,1.3834,0.0007,5.1059,1.4507,5.0269,0.4843,259.6568,9.9124,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0351,0.0351
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=04.ckpt,4,0.695813953488372,20,128,34.5089,1.3819,0.0007,5.0446,1.4231,4.0255,0.4993,271.8074,10.0514,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.038,0.038
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=05.ckpt,5,0.7013953488372093,20,128,35.3874,1.3788,0.0007,4.9876,1.3603,4.8555,0.5429,280.933,11.5004,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0375,0.0375
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=06.ckpt,6,0.7134883720930233,20,128,36.3184,1.3763,0.0008,4.9295,1.3019,7.0165,0.5899,290.0323,12.6833,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0339,0.0339
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=07.ckpt,7,0.7097674418604651,20,128,37.2606,1.3761,0.0008,4.8946,1.309,7.2065,0.5826,306.1782,13.9127,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.03,0.03
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=08.ckpt,8,0.7069767441860465,20,128,37.6851,1.3727,0.0007,4.8821,1.2757,8.0295,0.6127,311.0674,14.3506,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.033,0.033
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=09.ckpt,9,0.7041860465116279,20,128,38.5916,1.3719,0.0008,4.8382,1.2698,8.0886,0.6167,323.6883,16.3196,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0485,0.0485
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=10.ckpt,10,0.6976744186046512,20,128,39.5073,1.37,0.0008,4.8166,1.2867,7.9601,0.6011,335.6074,17.0845,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0472,0.0472
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=11.ckpt,11,0.6995348837209302,20,128,39.7499,1.3703,0.0008,4.8053,1.2838,8.4916,0.6034,342.774,16.9695,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0356,0.0356
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=12.ckpt,12,0.7069767441860465,20,128,39.9215,1.367,0.0008,4.8098,1.2834,8.933,0.6031,344.9178,17.3871,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.047,0.047
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=13.ckpt,13,0.7125581395348837,20,128,40.561,1.3685,0.0008,4.8057,1.2796,9.1385,0.6078,351.9551,17.4506,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0361,0.0361
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=14.ckpt,14,0.7013953488372093,20,128,40.1811,1.3663,0.0007,4.7949,1.2662,8.9222,0.6179,356.4604,17.891,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0363,0.0363
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=15.ckpt,15,0.7032558139534884,20,128,40.5937,1.366,0.0007,4.8009,1.271,9.1454,0.6139,359.1991,18.4893,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0351,0.0351
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=16.ckpt,16,0.6986046511627907,20,128,41.7816,1.3661,0.0008,4.7646,1.2857,9.3052,0.6012,371.535,18.4034,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0325,0.0325
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=17.ckpt,17,0.7320930232558139,20,128,41.3665,1.3657,0.0007,4.7728,1.2634,9.8084,0.6218,369.2935,19.4446,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0287,0.0287
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=18.ckpt,18,0.7069767441860465,20,128,40.6404,1.3681,0.0007,4.7767,1.2455,9.6631,0.6376,366.6278,18.8416,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0282,0.0282
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=19.ckpt,19,0.7134883720930233,20,128,41.2466,1.3697,0.0007,4.7646,1.2624,8.5571,0.6211,375.11,19.551,0.0001,0.0001,0.0,0.0002,0.0,0.001,0.0002,0.0381,0.0381
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=20.ckpt,20,0.7097674418604651,20,128,42.942,1.3643,0.0007,4.7188,1.286,9.0405,0.5999,385.6088,19.386,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0403,0.0403
64,0.001,3,10,50,16,8,128,checkpoints/model_64_0.001_3_10_50_128epoch=21.ckpt,21,0.7041860465116279,20,128,42.2508,1.3657,0.0007,4.7468,1.2687,9.7776,0.6158,383.0429,19.8746,0.0001,0.0001,0.0,0.0001,0.0,0.001,0.0002,0.0407,0.0407
