batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,sample_fraction
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.6697674418604651,13,128,31.9666,6.5928,0.0015,4.214,1.3036,5.3015,0.5927,1090.589,70.2771,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0029,0.2578,0.2578,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.6920930232558139,13,128,33.5263,6.3493,0.0015,4.1301,1.2963,4.1764,0.6004,1255.9436,82.5821,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.003,0.261,0.261,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.6874418604651162,13,128,37.2909,6.0164,0.0015,4.1141,1.3078,5.9311,0.5884,1465.1615,111.5274,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.003,0.2944,0.2944,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.6930232558139535,13,128,38.1741,5.9506,0.0012,4.1641,1.2622,5.8362,0.6269,1600.798,136.4585,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.003,0.3447,0.3447,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.6902325581395349,13,128,38.2028,6.0147,0.001,4.1978,1.2278,5.9301,0.6591,1671.032,146.4009,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0045,0.3492,0.3492,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.7004651162790698,13,128,41.0709,5.7107,0.0011,4.2416,1.2606,7.5261,0.6264,1832.597,169.0167,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.003,0.3717,0.3717,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.7097674418604651,13,128,41.8491,6.0553,0.001,4.2387,1.2425,6.688,0.6444,1870.3542,171.2013,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.003,0.3791,0.3791,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.7069767441860465,13,128,42.7604,5.8099,0.0011,4.2448,1.2346,7.2778,0.6522,1919.85,176.3973,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0029,0.3705,0.3705,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.6911627906976744,13,128,43.5394,5.6772,0.0012,4.2487,1.2255,8.5997,0.6598,1979.7697,189.5767,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.0029,0.3958,0.3958,0.287
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.7023255813953488,13,128,43.6785,5.8476,0.001,4.3115,1.2174,8.4997,0.669,2014.8304,193.5506,0.0001,0.0002,0.0,0.0002,0.0001,0.0016,0.003,0.4286,0.4286,0.287
