batch_size,learning_rate,split_count,cnt_min,cnt_max,embedding_dim,category_embedding_dim,hidden_size,checkpoint,epoch_num,accuracy,early_stop_epoch,hidden_size.1,metric_rankme,metric_coherence,metric_pseudo_condition_number,metric_alpha_req,metric_stable_rank,metric_ne_sum,metric_self_clustering,metric_ripser_sum_H0,metric_ripser_sum_H1,time_rankme,time_coherence,time_pseudo_condition_number,time_alpha_req,time_stable_rank,time_ne_sum,time_self_clustering,time_ripser_sum_H0,time_ripser_sum_H1,sample_fraction
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=00.ckpt,0,0.68,11,128,30.5821,16.047,0.0017,4.0983,1.3073,2.9683,0.586,3226.6353,257.7847,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.0443,4.2674,4.2674,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=01.ckpt,1,0.7013953488372093,11,128,33.9136,13.7116,0.0018,4.0834,1.2763,5.4204,0.6123,3872.7449,351.9272,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0446,5.2279,5.2279,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=02.ckpt,2,0.7041860465116279,11,128,35.7435,13.6394,0.0017,4.0718,1.2641,5.436,0.6208,4388.2417,447.1823,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.044,6.3347,6.3347,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=03.ckpt,3,0.707906976744186,11,128,37.9808,14.8202,0.0014,4.1158,1.2455,7.191,0.6419,4761.429,529.234,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0449,6.6174,6.6174,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=04.ckpt,4,0.7041860465116279,11,128,37.7863,14.3657,0.0011,4.1751,1.2122,7.3055,0.6743,5088.5034,592.3622,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0445,7.722,7.722,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=05.ckpt,5,0.7255813953488373,11,128,39.8992,13.2791,0.0011,4.2182,1.2208,8.5708,0.6655,5514.7173,655.5727,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0446,7.2502,7.2502,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=06.ckpt,6,0.7153488372093023,11,128,41.0315,11.7125,0.0009,4.2535,1.2276,7.3424,0.6599,5751.9443,689.8404,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.0449,10.4801,10.4801,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=07.ckpt,7,0.718139534883721,11,128,41.3598,12.6587,0.0009,4.2813,1.2191,7.4595,0.6683,5906.8945,695.5436,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0447,9.9212,9.9212,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=08.ckpt,8,0.7051162790697675,11,128,42.2447,12.0912,0.0009,4.3301,1.2097,8.5169,0.6787,6151.161,761.862,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.0455,10.0548,10.0548,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=09.ckpt,9,0.7125581395348837,11,128,42.33,12.2802,0.0009,4.3485,1.1965,10.3121,0.6939,6224.0166,778.3436,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0445,10.6048,10.6048,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=10.ckpt,10,0.7237209302325581,11,128,42.7972,11.2424,0.0009,4.3379,1.1987,9.4353,0.6905,6364.8716,796.2508,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.0445,10.5044,10.5044,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=11.ckpt,11,0.7153488372093023,11,128,43.3208,11.0162,0.0009,4.339,1.2048,10.1782,0.6836,6455.324,808.7618,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.0443,9.7085,9.7085,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=12.ckpt,12,0.7190697674418605,11,128,43.447,11.6383,0.0009,4.3627,1.2012,10.8102,0.6878,6517.0713,827.3742,0.0001,0.0005,0.0,0.0002,0.0003,0.0034,0.0439,9.9717,9.9717,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=13.ckpt,13,0.7386046511627907,11,128,44.1859,11.9668,0.0009,4.31,1.2104,9.7477,0.6773,6657.2905,845.2651,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0446,9.1711,9.1711,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=14.ckpt,14,0.72,11,128,44.2098,11.6776,0.0009,4.3522,1.207,10.0633,0.6813,6696.786,840.4366,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0444,10.6901,10.6901,1.0
16,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_16_0.001_3_10_50_128epoch=15.ckpt,15,0.718139534883721,11,128,44.7131,12.1745,0.0009,4.3495,1.2102,10.115,0.6776,6846.7393,856.0172,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0446,9.2537,9.2537,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=00.ckpt,0,0.6837209302325581,29,128,31.5446,17.3925,0.0017,4.2331,1.3972,3.7928,0.5312,3038.0461,237.6104,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0446,4.0783,4.0783,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=01.ckpt,1,0.6920930232558139,29,128,34.1829,15.9141,0.0017,4.1677,1.3362,3.612,0.5686,3435.7,269.3726,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0449,4.279,4.279,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=02.ckpt,2,0.707906976744186,29,128,37.1126,11.3907,0.0018,4.1087,1.3444,4.8299,0.554,3899.4692,320.22,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0441,4.5344,4.5344,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=03.ckpt,3,0.6986046511627907,29,128,38.7052,12.0304,0.0017,4.0381,1.2957,6.6659,0.5923,4254.415,384.781,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0443,4.8872,4.8872,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=04.ckpt,4,0.7320930232558139,29,128,39.9165,10.3532,0.0018,3.9856,1.2746,7.5644,0.6078,4570.5986,454.3462,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0443,5.4783,5.4783,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=05.ckpt,5,0.7227906976744186,29,128,42.618,10.3905,0.0017,3.9582,1.2978,6.4082,0.5848,4875.934,487.176,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0443,6.1664,6.1664,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=06.ckpt,6,0.7218604651162791,29,128,43.9353,9.119,0.0017,3.9419,1.2994,6.7824,0.5838,5280.9224,546.7882,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0442,6.0275,6.0275,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=07.ckpt,7,0.7172093023255814,29,128,44.7122,7.5149,0.0017,3.9376,1.2968,7.1729,0.5884,5486.3936,567.091,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0444,6.0724,6.0724,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=08.ckpt,8,0.7227906976744186,29,128,45.558,12.1524,0.0018,3.9463,1.2928,6.7615,0.5928,5683.9795,590.9771,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0443,6.4846,6.4846,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=09.ckpt,9,0.7255813953488373,29,128,45.334,8.6615,0.0016,3.9836,1.2617,7.9006,0.6212,5796.6436,608.5713,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0444,6.7766,6.7766,1.0
32,0.001,3,10,50,16,8,128,rosbank/checkpoints/model_32_0.001_3_10_50_128epoch=10.ckpt,10,0.7255813953488373,29,128,45.4161,8.0565,0.0016,3.9979,1.257,8.3919,0.6277,5891.4385,632.9372,0.0001,0.0006,0.0,0.0002,0.0003,0.0034,0.0444,6.5604,6.5604,1.0
